100000  0	서비스 전체	000000	1
110000	1	레슨	100000	2
110100	2	학업	110000	3
110101	3	영어 과외	110000	4
110102	3	수학 과외	110000	5
110103	3	국어 과외	110000	6
110104	3	과학 과외	110000	7
110105	3	사회 과외	110000	8
110200	2	외국어	110000	9
110201	3	영어과외	110200	10
110202	3	비즈니스 영어	110200	11
110203	3	화상영어/전화영어 회화	110200	12
110204	3	중국어 과외	110200	13
110205	3	비즈니스 중국어	110200	14
110206	3	일본어(일어) 과외	110200	15
110207	3	비즈니스 일본어	110200	16
110300	2	외국어시험	110000	17
110301	3	TOEIC	110300	18
110302	3	OPIc	110300	19
110303	3	IELTS	110300	20
110304	3	TOEFL 	110300	21
110305	3	HSK	110300	22
110306	3	JLPT	110300	23
110307	3	ACT	110300	24
110308	3	AP 과외	110300	25
110400	2	공예	110000	26
110401	3	플라워/꽃꽂이 레슨	110400	27
110402	3	LED 플라워 레슨	110400	28
110403	3	네온공예 레슨	110400	29
110404	3	가구/목공예 레슨	110400	30
110405	3	뜨개질/위빙 레슨	110400	31
110500	2	미술	110000	32
110501	3	미술 회화 레슨	110500	33
110502	3	소묘/드로잉 레슨	110500	34
110503	3	서예 레슨	110500	35
120000	1	홈/리빙	100000	36
120100	2	이사	120000	37
120101	3	원룸/소형 이사	120100	38
120102	3	용달/화물 운송	120100	39
120103	3	국내 이사	120100	40
120104	3	가정이사 (투룸 이상)	120100	41
120105	3	사무실/상업공간 이사	120100	42
120106	3	짐 보관	120100	43
120200	2	청소 업체	120000	44
120201	3	이사/입주 청소 업체	120200	45
120202	3	에어컨 청소	120200	46
120203	3	세탁기 청소	120200	47
120204	3	침대/매트리스 청소	120200	48
120300	2	인테리어	120000	49
120301	3	집 인테리어	120300	50
120302	3	상업공간 인테리어	120300	51
120303	3	욕실/화장실 리모델링	120300	52
120304	3	홈 스타일링	120300	53
120400	2	펫/반려동물	120000	54
120401	3	반려동물 훈련	120400	55
120402	3	반려견 산책	120400	56
120403	3	펫 호텔	120400	57
120404	3	펫 미용	120400	58
130000	1	이벤트	100000	59
130100	2	웨딩	130000	60
130101	3	웨딩 영상 촬영	130100	61
130102	3	웨딩 사진 촬영	130100	62
130103	3	웨딩 헤어/메이크업	130100	63
130104	3	웨딩 연주	130100	64
130105	3	축가 요청	130100	65
130106	3	결혼식 사회자	130100	66
130200	2	뷰티/미용	130000	67
130201	3	헤어(컷/염색/펌)	130200	68
130202	3	헤어/메이크업	130200	69
130203	3	네일	130200	70
130204	3	왁싱	130200	71
130205	3	속눈썹 연장/파마	130200	72
130206	3	피부 관리	130200	73
140000	1	비즈니스	100000	74
140100	2	번역	140000	75
140101	3	한문 번역	140100	76
140102	3	영어 번역	140100	77
140103	3	중국어 번역	140100	78
140104	3	일본어 번역	140100	79
140105	3	베트남어 번역	140100	80
140106	3	독일어 번역	140100	81
140200	2	통역	140000	82
140201	3	영어 통역	140200	83
140202	3	중국어 통역	140200	84
140203	3	일본어 통역	140200	85
140204	3	러시아어 통역	140200	86
140205	3	독일어 통역	140200	87
140300	2	인사	140000	88
140301	3	기업교육	140300	89
140302	3	인권/성교육	140300	90
140303	3	리쿠르팅	140300	91
150000	1	디자인/개발	100000	92
150100	2	디자인 외주	150000	93
150101	3	인쇄물 디자인	150100	94
150102	3	명함 디자인	150100	95
150103	3	로고 디자인	150100	96
150104	3	간판 디자인	150100	97
150105	3	프레젠테이션 디자인	150100	98
150106	3	일러스트 디자인	150100	99
150200	2	개발 외주	150000	100
150201	3	게임 개발	150200	101
150202	3	IOS 개발	150200	102
150203	3	안드로이드 개발	150200	103
150204	3	웹 개발	150200	104
150205	3	퍼블리싱	150200	105
150206	3	소프트웨어 개발	150200	106
150207	3	워드프레스 개발	150200	107
